State,Crop,District,Year,Season,Area,Production,Yield,SO2,NO2,RSPM,SPM
Chhattisgarh,Maize,Korba,2001,Kharif,4902,5181,1.06,12.53240741,20.20092593,150.75,81.58333333
Chhattisgarh,Masoor,Korba,2001,Rabi,52,15,0.29,12.53240741,20.20092593,150.75,81.58333333
Chhattisgarh,Masoor,Korba,2001,Kharif,23,49,2.13,12.53240741,20.20092593,150.75,81.58333333
Chhattisgarh,Moong(Green Gram),Korba,2001,Kharif,75,13,0.17,12.53240741,20.20092593,150.75,81.58333333
Chhattisgarh,Moong(Green Gram),Korba,2001,Rabi,8,2,0.25,12.53240741,20.20092593,150.75,81.58333333
Chhattisgarh,Niger seed,Korba,2001,Kharif,229,59,0.26,12.53240741,20.20092593,150.75,81.58333333
Chhattisgarh,Onion,Korba,2001,Whole Year,101,906,8.97,12.53240741,20.20092593,150.75,81.58333333
Chhattisgarh,Other  Rabi pulses,Korba,2001,Rabi,22,9,0.41,12.53240741,20.20092593,150.75,81.58333333
Chhattisgarh,Other Kharif pulses,Korba,2001,Kharif,563,261,0.46,12.53240741,20.20092593,150.75,81.58333333
Chhattisgarh,Jute,Korba,2001,Rabi,394,119,0.3,12.53240741,20.20092593,150.75,81.58333333
Chhattisgarh,Potato,Korba,2001,Whole Year,107,673,6.29,12.53240741,20.20092593,150.75,81.58333333
Chhattisgarh,Jute,Korba,2001,Rabi,1979,495,0.25,12.53240741,20.20092593,150.75,81.58333333
Chhattisgarh,Rice,Korba,2001,Kharif,109325,60674,0.55,12.53240741,20.20092593,150.75,81.58333333
Chhattisgarh,Sannhamp,Korba,2001,Whole Year,26,7,0.27,12.53240741,20.20092593,150.75,81.58333333
Chhattisgarh,Sesamum,Korba,2001,Kharif,559,84,0.15,12.53240741,20.20092593,150.75,81.58333333
Chhattisgarh,Small millets,Korba,2001,Kharif,4001,707,0.18,12.53240741,20.20092593,150.75,81.58333333
Chhattisgarh,Soyabean,Korba,2001,Kharif,2,1,0.5,12.53240741,20.20092593,150.75,81.58333333
Chhattisgarh,Sugarcane,Korba,2001,Whole Year,8,21,2.63,12.53240741,20.20092593,150.75,81.58333333
Chhattisgarh,Sweet potato,Korba,2001,Whole Year,82,532,6.49,12.53240741,20.20092593,150.75,81.58333333
Chhattisgarh,Turmeric,Korba,2001,Whole Year,1,1,1,12.53240741,20.20092593,150.75,81.58333333
Chhattisgarh,Urad,Korba,2001,Kharif,5040,962,0.19,12.53240741,20.20092593,150.75,81.58333333
Chhattisgarh,Urad,Korba,2001,Rabi,11,2,0.18,12.53240741,20.20092593,150.75,81.58333333
Chhattisgarh,Wheat,Korba,2001,Rabi,735,660,0.9,12.53240741,20.20092593,150.75,81.58333333
Chhattisgarh,Arhar/Tur,Korba,2002,Kharif,1038,421,0.41,12.53737374,19.63535354,145,93.63636364
Chhattisgarh,Bajra,Korba,2002,Kharif,7,3,0.43,12.53737374,19.63535354,145,93.63636364
Chhattisgarh,Banana,Korba,2002,Whole Year,3,102,34,12.53737374,19.63535354,145,93.63636364
Chhattisgarh,Barley,Korba,2002,Rabi,212,182,0.86,12.53737374,19.63535354,145,93.63636364
Chhattisgarh,Coriander,Korba,2002,Whole Year,2,1,0.5,12.53737374,19.63535354,145,93.63636364
Chhattisgarh,Dry chillies,Korba,2002,Whole Year,215,101,0.47,12.53737374,19.63535354,145,93.63636364
Chhattisgarh,Garlic,Korba,2002,Whole Year,20,70,3.5,12.53737374,19.63535354,145,93.63636364
Chhattisgarh,Gram,Korba,2002,Rabi,373,273,0.73,12.53737374,19.63535354,145,93.63636364
Chhattisgarh,Groundnut,Korba,2002,Kharif,208,241,1.16,12.53737374,19.63535354,145,93.63636364
Chhattisgarh,Horse-gram,Korba,2002,Kharif,5468,1690,0.31,12.53737374,19.63535354,145,93.63636364
Chhattisgarh,Jowar,Korba,2002,Kharif,403,401,1,12.53737374,19.63535354,145,93.63636364
Chhattisgarh,Khesari,Korba,2002,Rabi,2679,1733,0.65,12.53737374,19.63535354,145,93.63636364
Chhattisgarh,Linseed,Korba,2002,Rabi,1276,333,0.26,12.53737374,19.63535354,145,93.63636364
Chhattisgarh,Maize,Korba,2002,Kharif,4942,3540,0.72,12.53737374,19.63535354,145,93.63636364
Chhattisgarh,Masoor,Korba,2002,Rabi,50,15,0.3,12.53737374,19.63535354,145,93.63636364
Chhattisgarh,Masoor,Korba,2002,Kharif,23,50,2.17,12.53737374,19.63535354,145,93.63636364
Chhattisgarh,Moong(Green Gram),Korba,2002,Kharif,79,18,0.23,12.53737374,19.63535354,145,93.63636364
Chhattisgarh,Moong(Green Gram),Korba,2002,Rabi,7,2,0.29,12.53737374,19.63535354,145,93.63636364
Chhattisgarh,Niger seed,Korba,2002,Kharif,316,81,0.26,12.53737374,19.63535354,145,93.63636364
Chhattisgarh,Onion,Korba,2002,Whole Year,109,1107,10.16,12.53737374,19.63535354,145,93.63636364
Chhattisgarh,Other  Rabi pulses,Korba,2002,Rabi,17,7,0.41,12.53737374,19.63535354,145,93.63636364
Chhattisgarh,Other Kharif pulses,Korba,2002,Kharif,629,293,0.47,12.53737374,19.63535354,145,93.63636364
Chhattisgarh,Jute,Korba,2002,Rabi,127,46,0.36,12.53737374,19.63535354,145,93.63636364
Chhattisgarh,Potato,Korba,2002,Whole Year,119,777,6.53,12.53737374,19.63535354,145,93.63636364
Chhattisgarh,Jute,Korba,2002,Rabi,2193,701,0.32,12.53737374,19.63535354,145,93.63636364
Chhattisgarh,Rice,Korba,2002,Kharif,110152,145072,1.32,12.53737374,19.63535354,145,93.63636364
Chhattisgarh,Sannhamp,Korba,2002,Whole Year,29,10,0.34,12.53737374,19.63535354,145,93.63636364
Chhattisgarh,Sesamum,Korba,2002,Kharif,1613,336,0.21,12.53737374,19.63535354,145,93.63636364
Chhattisgarh,Small millets,Korba,2002,Kharif,3430,978,0.29,12.53737374,19.63535354,145,93.63636364
Chhattisgarh,Soyabean,Korba,2002,Kharif,1,1,1,12.53737374,19.63535354,145,93.63636364
Chhattisgarh,Sugarcane,Korba,2002,Whole Year,3,10,3.33,12.53737374,19.63535354,145,93.63636364
Chhattisgarh,Sweet potato,Korba,2002,Whole Year,99,643,6.49,12.53737374,19.63535354,145,93.63636364
Chhattisgarh,Turmeric,Korba,2002,Whole Year,3,3,1,12.53737374,19.63535354,145,93.63636364
Chhattisgarh,Urad,Korba,2002,Kharif,4850,1157,0.24,12.53737374,19.63535354,145,93.63636364
Chhattisgarh,Urad,Korba,2002,Rabi,6,1,0.17,12.53737374,19.63535354,145,93.63636364
Chhattisgarh,Wheat,Korba,2002,Rabi,801,817,1.02,12.53737374,19.63535354,145,93.63636364
Chhattisgarh,Arhar/Tur,Korba,2004,Kharif,1161,610,0.53,13.17102564,20.17435897,159.6333333,180.6102564
Chhattisgarh,Bajra,Korba,2004,Kharif,7,4,0.57,13.17102564,20.17435897,159.6333333,180.6102564
Chhattisgarh,Banana,Korba,2004,Whole Year,2,68,34,13.17102564,20.17435897,159.6333333,180.6102564
Chhattisgarh,Barley,Korba,2004,Rabi,247,207,0.84,13.17102564,20.17435897,159.6333333,180.6102564
Chhattisgarh,Dry chillies,Korba,2004,Whole Year,224,114,0.51,13.17102564,20.17435897,159.6333333,180.6102564
Chhattisgarh,Garlic,Korba,2004,Whole Year,16,57,3.56,13.17102564,20.17435897,159.6333333,180.6102564
Chhattisgarh,Ginger,Korba,2004,Whole Year,1,1,1,13.17102564,20.17435897,159.6333333,180.6102564
Chhattisgarh,Gram,Korba,2004,Rabi,349,271,0.78,13.17102564,20.17435897,159.6333333,180.6102564
Chhattisgarh,Groundnut,Korba,2004,Kharif,251,243,0.97,13.17102564,20.17435897,159.6333333,180.6102564
Chhattisgarh,Horse-gram,Korba,2004,Kharif,5578,1512,0.27,13.17102564,20.17435897,159.6333333,180.6102564
Chhattisgarh,Jowar,Korba,2004,Kharif,414,332,0.8,13.17102564,20.17435897,159.6333333,180.6102564
Chhattisgarh,Khesari,Korba,2004,Rabi,2463,1499,0.61,13.17102564,20.17435897,159.6333333,180.6102564
Chhattisgarh,Linseed,Korba,2004,Rabi,1182,289,0.24,13.17102564,20.17435897,159.6333333,180.6102564
Chhattisgarh,Maize,Korba,2004,Kharif,4902,6070,1.24,13.17102564,20.17435897,159.6333333,180.6102564
Chhattisgarh,Masoor,Korba,2004,Rabi,49,13,0.27,13.17102564,20.17435897,159.6333333,180.6102564
Chhattisgarh,Masoor,Korba,2004,Kharif,26,46,1.77,13.17102564,20.17435897,159.6333333,180.6102564
Chhattisgarh,Moong(Green Gram),Korba,2004,Kharif,74,15,0.2,13.17102564,20.17435897,159.6333333,180.6102564
Chhattisgarh,Moong(Green Gram),Korba,2004,Rabi,1,0,0,13.17102564,20.17435897,159.6333333,180.6102564
Chhattisgarh,Niger seed,Korba,2004,Kharif,343,76,0.22,13.17102564,20.17435897,159.6333333,180.6102564
Chhattisgarh,Onion,Korba,2004,Whole Year,110,895,8.14,13.17102564,20.17435897,159.6333333,180.6102564
Chhattisgarh,Other  Rabi pulses,Korba,2004,Rabi,29,12,0.41,13.17102564,20.17435897,159.6333333,180.6102564
Chhattisgarh,Other Kharif pulses,Korba,2004,Kharif,723,310,0.43,13.17102564,20.17435897,159.6333333,180.6102564
Chhattisgarh,Jute,Korba,2004,Rabi,141,43,0.3,13.17102564,20.17435897,159.6333333,180.6102564
Chhattisgarh,Potato,Korba,2004,Whole Year,160,686,4.29,13.17102564,20.17435897,159.6333333,180.6102564
Chhattisgarh,Jute,Korba,2004,Rabi,2226,670,0.3,13.17102564,20.17435897,159.6333333,180.6102564
Chhattisgarh,Rice,Korba,2004,Kharif,110113,134710,1.22,13.17102564,20.17435897,159.6333333,180.6102564
Chhattisgarh,Sannhamp,Korba,2004,Whole Year,16,5,0.31,13.17102564,20.17435897,159.6333333,180.6102564
Chhattisgarh,Sesamum,Korba,2004,Kharif,1603,395,0.25,13.17102564,20.17435897,159.6333333,180.6102564
Chhattisgarh,Small millets,Korba,2004,Kharif,2694,727,0.27,13.17102564,20.17435897,159.6333333,180.6102564
Chhattisgarh,Sugarcane,Korba,2004,Whole Year,6,15,2.5,13.17102564,20.17435897,159.6333333,180.6102564
Chhattisgarh,Sunflower,Korba,2004,Kharif,1,0,0,13.17102564,20.17435897,159.6333333,180.6102564
Chhattisgarh,Sweet potato,Korba,2004,Whole Year,89,578,6.49,13.17102564,20.17435897,159.6333333,180.6102564
Chhattisgarh,Turmeric,Korba,2004,Whole Year,5,4,0.8,13.17102564,20.17435897,159.6333333,180.6102564
Chhattisgarh,Urad,Korba,2004,Kharif,4865,967,0.2,13.17102564,20.17435897,159.6333333,180.6102564
Chhattisgarh,Urad,Korba,2004,Rabi,14,3,0.21,13.17102564,20.17435897,159.6333333,180.6102564
Chhattisgarh,Wheat,Korba,2004,Rabi,782,657,0.84,13.17102564,20.17435897,159.6333333,180.6102564
Chhattisgarh,Arhar/Tur,Korba,2005,Kharif,1273,499,0.39,12.91198502,20.38426966,75.22097378,181.588015
Chhattisgarh,Bajra,Korba,2005,Kharif,7,2,0.29,12.91198502,20.38426966,75.22097378,181.588015
Chhattisgarh,Banana,Korba,2005,Whole Year,4,136,34,12.91198502,20.38426966,75.22097378,181.588015
Chhattisgarh,Barley,Korba,2005,Rabi,230,150,0.65,12.91198502,20.38426966,75.22097378,181.588015
Chhattisgarh,Coriander,Korba,2005,Whole Year,8,2,0.25,12.91198502,20.38426966,75.22097378,181.588015
Chhattisgarh,Dry chillies,Korba,2005,Whole Year,247,94,0.38,12.91198502,20.38426966,75.22097378,181.588015
Chhattisgarh,Garlic,Korba,2005,Whole Year,13,43,3.31,12.91198502,20.38426966,75.22097378,181.588015
Chhattisgarh,Ginger,Korba,2005,Whole Year,1,1,1,12.91198502,20.38426966,75.22097378,181.588015
Chhattisgarh,Gram,Korba,2005,Rabi,355,147,0.41,12.91198502,20.38426966,75.22097378,181.588015
Chhattisgarh,Groundnut,Korba,2005,Kharif,240,259,1.08,12.91198502,20.38426966,75.22097378,181.588015
Chhattisgarh,Horse-gram,Korba,2005,Kharif,5525,1348,0.24,12.91198502,20.38426966,75.22097378,181.588015
Chhattisgarh,Jowar,Korba,2005,Kharif,399,227,0.57,12.91198502,20.38426966,75.22097378,181.588015
Chhattisgarh,Khesari,Korba,2005,Rabi,2366,975,0.41,12.91198502,20.38426966,75.22097378,181.588015
Chhattisgarh,Linseed,Korba,2005,Rabi,1052,186,0.18,12.91198502,20.38426966,75.22097378,181.588015
Chhattisgarh,Maize,Korba,2005,Kharif,4865,6413,1.32,12.91198502,20.38426966,75.22097378,181.588015
Chhattisgarh,Masoor,Korba,2005,Rabi,60,15,0.25,12.91198502,20.38426966,75.22097378,181.588015
Chhattisgarh,Masoor,Korba,2005,Kharif,39,61,1.56,12.91198502,20.38426966,75.22097378,181.588015
Chhattisgarh,Moong(Green Gram),Korba,2005,Kharif,80,14,0.18,12.91198502,20.38426966,75.22097378,181.588015
Chhattisgarh,Niger seed,Korba,2005,Kharif,361,73,0.2,12.91198502,20.38426966,75.22097378,181.588015
Chhattisgarh,Onion,Korba,2005,Whole Year,119,696,5.85,12.91198502,20.38426966,75.22097378,181.588015
Chhattisgarh,Other  Rabi pulses,Korba,2005,Rabi,430,12,0.03,12.91198502,20.38426966,75.22097378,181.588015
Chhattisgarh,Other Kharif pulses,Korba,2005,Kharif,727,282,0.39,12.91198502,20.38426966,75.22097378,181.588015
Chhattisgarh,Jute,Korba,2005,Rabi,174,44,0.25,12.91198502,20.38426966,75.22097378,181.588015
Chhattisgarh,Potato,Korba,2005,Whole Year,187,820,4.39,12.91198502,20.38426966,75.22097378,181.588015
Chhattisgarh,Jute,Korba,2005,Rabi,2207,610,0.28,12.91198502,20.38426966,75.22097378,181.588015
Chhattisgarh,Rice,Korba,2005,Kharif,109856,101504,0.92,12.91198502,20.38426966,75.22097378,181.588015
Chhattisgarh,Sannhamp,Korba,2005,Whole Year,3,1,0.33,12.91198502,20.38426966,75.22097378,181.588015
Chhattisgarh,Sesamum,Korba,2005,Kharif,1607,359,0.22,12.91198502,20.38426966,75.22097378,181.588015
Chhattisgarh,Small millets,Korba,2005,Kharif,2359,528,0.22,12.91198502,20.38426966,75.22097378,181.588015
